Chromosome	Start	End	Copy Number
1	1	100000	nan
1	100001	200000	nan
1	200001	300000	nan
1	300001	400000	nan
1	400001	500000	nan
1	500001	600000	nan
1	600001	700000	nan
1	700001	800000	3.022694394
1	800001	900000	1.391381274
1	900001	1000000	nan
1	1000001	1100000	2.483361087
1	1100001	1200000	2.671880744
1	1200001	1300000	nan
1	1300001	1400000	nan
1	1400001	1500000	2.296951304
1	1500001	1600000	2.472517017
1	1600001	1700000	1.201556565
1	1700001	1800000	2.269645808
1	1800001	1900000	2.314072591
1	1900001	2000000	1.92120441
1	2000001	2100000	2.523193435
1	2100001	2200000	2.592157145
1	2200001	2300000	1.864572205
1	2300001	2400000	1.841139105
1	2400001	2500000	2.328835541
1	2500001	2600000	2.274396157
1	2600001	2700000	nan
1	2700001	2800000	1.965804326
1	2800001	2900000	3.794901446
1	2900001	3000000	2.448820683
1	3000001	3100000	2.781041592
1	3100001	3200000	3.100727084
1	3200001	3300000	2.299353508
1	3300001	3400000	2.357460194
1	3400001	3500000	1.860845973
1	3500001	3600000	2.066345576
1	3600001	3700000	2.655387786
1	3700001	3800000	1.721171292
1	3800001	3900000	2.05861054
1	3900001	4000000	nan
1	4000001	4100000	2.226092344
1	4100001	4200000	1.320435031
1	4200001	4300000	2.21211623
1	4300001	4400000	1.804176939
1	4400001	4500000	3.007315934
1	4500001	4600000	2.195124665
1	4600001	4700000	1.519538797
1	4700001	4800000	2.957709444
1	4800001	4900000	1.999326214
1	4900001	5000000	2.732748166
1	5000001	5100000	1.842795897
1	5100001	5200000	1.940004897
1	5200001	5300000	2.332281401
1	5300001	5400000	1.871390152
1	5400001	5500000	2.094680492
1	5500001	5600000	1.290764083
1	5600001	5700000	2.711831245
1	5700001	5800000	2.190549222
1	5800001	5900000	1.640255717
1	5900001	6000000	1.881941201
1	6000001	6100000	2.074215575
1	6100001	6200000	2.375268954
1	6200001	6300000	2.372319655
1	6300001	6400000	1.720391323
1	6400001	6500000	3.44646572
1	6500001	6600000	nan
1	6600001	6700000	2.091964191
1	6700001	6800000	1.754305502
1	6800001	6900000	2.803256389
1	6900001	7000000	2.112179844
1	7000001	7100000	2.381103158
1	7100001	7200000	2.235920771
1	7200001	7300000	1.562483382
1	7300001	7400000	2.774664672
1	7400001	7500000	2.431548657
1	7500001	7600000	1.568281644
1	7600001	7700000	2.326480879
1	7700001	7800000	2.926698523
1	7800001	7900000	2.421419052
1	7900001	8000000	2.13038502
1	8000001	8100000	1.481531886
1	8100001	8200000	1.943153504
