Chromosome	Start	End	Copy Number
1	1	100000	nan
1	100001	200000	nan
1	200001	300000	nan
1	300001	400000	nan
1	400001	500000	nan
1	500001	600000	nan
1	600001	700000	nan
1	700001	800000	3.184353159
1	800001	900000	2.148834614
1	900001	1000000	nan
1	1000001	1100000	2.2265025
1	1100001	1200000	2.549309694
1	1200001	1300000	nan
1	1300001	1400000	nan
1	1400001	1500000	2.956734033
1	1500001	1600000	0.6377337504
1	1600001	1700000	1.35523396
1	1700001	1800000	1.195582181
1	1800001	1900000	2.125655179
1	1900001	2000000	2.246674443
1	2000001	2100000	2.180131101
1	2100001	2200000	1.120778802
1	2200001	2300000	2.721503266
1	2300001	2400000	1.617181634
1	2400001	2500000	2.205163906
1	2500001	2600000	2.855002015
1	2600001	2700000	nan
1	2700001	2800000	2.464065815
1	2800001	2900000	2.122286584
1	2900001	3000000	1.655898678
1	3000001	3100000	2.339553178
1	3100001	3200000	2.496874072
1	3200001	3300000	2.033971281
1	3300001	3400000	1.751512998
1	3400001	3500000	2.661206533
1	3500001	3600000	1.187837901
1	3600001	3700000	1.849142416
1	3700001	3800000	1.651796001
1	3800001	3900000	2.533385837
1	3900001	4000000	nan
1	4000001	4100000	2.655956409
1	4100001	4200000	2.027492759
1	4200001	4300000	1.538072674
1	4300001	4400000	2.024294167
1	4400001	4500000	2.368258733
1	4500001	4600000	1.94182286
1	4600001	4700000	1.815881072
1	4700001	4800000	2.816460191
1	4800001	4900000	1.795589835
1	4900001	5000000	1.902292753
1	5000001	5100000	2.298992305
1	5100001	5200000	2.790383693
1	5200001	5300000	1.864846454
1	5300001	5400000	2.048429646
1	5400001	5500000	2.06103541
1	5500001	5600000	1.549415168
1	5600001	5700000	1.723979197
1	5700001	5800000	1.679438349
1	5800001	5900000	2.024499645
1	5900001	6000000	2.13013751
1	6000001	6100000	1.790187409
1	6100001	6200000	2.647611031
1	6200001	6300000	2.020919902
1	6300001	6400000	1.707771583
1	6400001	6500000	1.643077889
1	6500001	6600000	nan
1	6600001	6700000	2.333053804
1	6700001	6800000	2.112052348
1	6800001	6900000	1.197198688
1	6900001	7000000	1.819291253
1	7000001	7100000	2.144661691
1	7100001	7200000	2.426303944
1	7200001	7300000	2.293746109
1	7300001	7400000	1.914368654
1	7400001	7500000	2.57567103
1	7500001	7600000	2.131388647
1	7600001	7700000	2.235212893
1	7700001	7800000	1.565125448
1	7800001	7900000	3.577927097
1	7900001	8000000	2.613625436
1	8000001	8100000	1.295676388
1	8100001	8200000	1.64917065
