Chromosome	Start	End	Copy Number
1	1	100000	nan
1	100001	200000	nan
1	200001	300000	nan
1	300001	400000	nan
1	400001	500000	nan
1	500001	600000	nan
1	600001	700000	nan
1	700001	800000	1.312809909
1	800001	900000	1.7471702
1	900001	1000000	nan
1	1000001	1100000	1.209478073
1	1100001	1200000	1.967371767
1	1200001	1300000	nan
1	1300001	1400000	nan
1	1400001	1500000	0.9953200765
1	1500001	1600000	1.952805329
1	1600001	1700000	1.242313581
1	1700001	1800000	1.472824862
1	1800001	1900000	1.957747099
1	1900001	2000000	2.333916679
1	2000001	2100000	2.122613501
1	2100001	2200000	2.394102288
1	2200001	2300000	2.077529541
1	2300001	2400000	2.623043139
1	2400001	2500000	1.245933263
1	2500001	2600000	2.079813535
1	2600001	2700000	nan
1	2700001	2800000	1.12394746
1	2800001	2900000	2.172192962
1	2900001	3000000	1.707701448
1	3000001	3100000	2.222401808
1	3100001	3200000	2.425107092
1	3200001	3300000	1.905585062
1	3300001	3400000	1.752331204
1	3400001	3500000	2.969598732
1	3500001	3600000	2.227243498
1	3600001	3700000	1.807148879
1	3700001	3800000	2.468301689
1	3800001	3900000	1.117035844
1	3900001	4000000	nan
1	4000001	4100000	2.214722314
1	4100001	4200000	2.420670704
1	4200001	4300000	1.669540311
1	4300001	4400000	2.141074945
1	4400001	4500000	1.993665521
1	4500001	4600000	1.709235102
1	4600001	4700000	2.18057879
1	4700001	4800000	1.489488532
1	4800001	4900000	1.966604175
1	4900001	5000000	2.46717777
1	5000001	5100000	1.490478221
1	5100001	5200000	2.640756999
1	5200001	5300000	2.714084081
1	5300001	5400000	1.379017422
1	5400001	5500000	1.685847284
1	5500001	5600000	1.94364041
1	5600001	5700000	2.548636795
1	5700001	5800000	1.998566332
1	5800001	5900000	1.772603245
1	5900001	6000000	2.707099991
1	6000001	6100000	2.209692761
1	6100001	6200000	1.60796227
1	6200001	6300000	2.795666143
1	6300001	6400000	2.710497613
1	6400001	6500000	2.354579533
1	6500001	6600000	nan
1	6600001	6700000	1.63297846
1	6700001	6800000	1.833007622
1	6800001	6900000	1.751640773
1	6900001	7000000	2.135735253
1	7000001	7100000	2.199439609
1	7100001	7200000	1.653515026
1	7200001	7300000	1.945738581
1	7300001	7400000	2.545941949
1	7400001	7500000	2.224906957
1	7500001	7600000	2.048080793
1	7600001	7700000	1.881404372
1	7700001	7800000	1.551510311
1	7800001	7900000	1.64870946
1	7900001	8000000	2.45953637
1	8000001	8100000	1.758592023
1	8100001	8200000	2.642033028
