Chromosome	Start	End	Copy Number
1	1	100000	nan
1	100001	200000	nan
1	200001	300000	nan
1	300001	400000	nan
1	400001	500000	nan
1	500001	600000	nan
1	600001	700000	nan
1	700001	800000	2.429200365
1	800001	900000	1.816681808
1	900001	1000000	nan
1	1000001	1100000	2.940949317
1	1100001	1200000	1.902078575
1	1200001	1300000	nan
1	1300001	1400000	nan
1	1400001	1500000	2.82764495
1	1500001	1600000	1.465910828
1	1600001	1700000	2.014072807
1	1700001	1800000	2.065794789
1	1800001	1900000	2.286359934
1	1900001	2000000	4.347344382
1	2000001	2100000	2.267111843
1	2100001	2200000	2.661884807
1	2200001	2300000	3.001527336
1	2300001	2400000	2.15246119
1	2400001	2500000	2.796528873
1	2500001	2600000	3.049266921
1	2600001	2700000	nan
1	2700001	2800000	2.23897321
1	2800001	2900000	2.109705964
1	2900001	3000000	1.974362739
1	3000001	3100000	1.716585004
1	3100001	3200000	2.040756525
1	3200001	3300000	2.331638203
1	3300001	3400000	2.659900516
1	3400001	3500000	2.742963848
1	3500001	3600000	2.213623551
1	3600001	3700000	2.065864547
1	3700001	3800000	2.744273881
1	3800001	3900000	2.115479255
1	3900001	4000000	nan
1	4000001	4100000	2.958705115
1	4100001	4200000	2.10995557
1	4200001	4300000	2.098296706
1	4300001	4400000	2.543353354
1	4400001	4500000	2.694735491
1	4500001	4600000	2.083450734
1	4600001	4700000	2.838044897
1	4700001	4800000	1.593684253
1	4800001	4900000	2.519352353
1	4900001	5000000	1.656387124
1	5000001	5100000	2.257109952
1	5100001	5200000	1.413663835
1	5200001	5300000	2.216821299
1	5300001	5400000	2.65223889
1	5400001	5500000	2.426009098
1	5500001	5600000	2.017129307
1	5600001	5700000	2.317895103
1	5700001	5800000	1.853960043
1	5800001	5900000	2.361762612
1	5900001	6000000	1.838062311
1	6000001	6100000	2.05381403
1	6100001	6200000	2.310135041
1	6200001	6300000	3.071829676
1	6300001	6400000	2.294205572
1	6400001	6500000	1.569095223
1	6500001	6600000	nan
1	6600001	6700000	2.219542927
1	6700001	6800000	2.17316551
1	6800001	6900000	2.251733234
1	6900001	7000000	1.750614061
1	7000001	7100000	2.165548875
1	7100001	7200000	1.968932177
1	7200001	7300000	2.717043084
1	7300001	7400000	1.219436967
1	7400001	7500000	2.367054323
1	7500001	7600000	1.736160057
1	7600001	7700000	2.189652372
1	7700001	7800000	2.039866602
1	7800001	7900000	1.833973469
1	7900001	8000000	2.488084411
1	8000001	8100000	1.531870525
1	8100001	8200000	1.855740089
